coin name,coin symbol,coin price,market cap,volume,origin_pattern,origin_url,createdAt,updatedAt,pingedAt
Dash,DASH,$296.20,$3.0B,$2.0B,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Decentraland,MANA,$1.30,$2.1B,$715.3M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Decred,DCR,$206.82,$2.7B,$94.5M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Dogecoin,DOGE,$0.35,$45.3B,$25.1B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Dogecoin,DOGE,$0.36,$45.3B,$25.1B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
EOS,EOS,$6.43,$6.1B,$4.5B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
EOS,EOS,$6.44,$6.1B,$4.5B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Elrond,EGLD,$166.77,$2.9B,$230.2M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Enjin Coin,ENJ,$2.44,$2.0B,$378.9M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Ethereum,ETH,"$2,151.42",$247.9B,$36.4B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Ethereum,ETH,"$2,154.88",$247.9B,$36.4B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Ethereum 2,ETH2,"$2,151.42",$247.9B,$36.4B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Ethereum 2,ETH2,"$2,154.88",$247.9B,$36.4B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Ethereum Classic,ETC,$33.18,$3.8B,$3.9B,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
FTX Token,FTT,$48.69,$4.6B,$199.2M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Filecoin,FIL,$152.80,$10.3B,$2.3B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Filecoin,FIL,$152.87,$10.3B,$2.3B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Hedera Hashgraph,HBAR,$0.31,$2.4B,$556.3M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Holo,HOT,$0.0158,$2.7B,$498.7M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Huobi Token,HT,$17.85,$3.2B,$861.2M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
IOTA,MIOTA,$2.01,$5.6B,$395.6M,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
IOTA,MIOTA,$2.02,$5.6B,$395.6M,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Klaytn,KLAY,$2.36,$5.8B,$86.1M,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Klaytn,KLAY,$2.36,$5.8B,$86.1M,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Kusama,KSM,$352.82,$3.0B,$382.2M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Litecoin,LTC,$247.97,$16.5B,$9.2B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Litecoin,LTC,$248.39,$16.5B,$9.2B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Maker,MKR,"$3,317.18",$3.3B,$429.6M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Monero,XMR,$389.27,$6.9B,$1.6B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Monero,XMR,$389.36,$6.9B,$1.6B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
NEM,XEM,$0.36,$3.2B,$284.2M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Neo,NEO,$106.48,$7.5B,$5.5B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Neo,NEO,$106.68,$7.5B,$5.5B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
PancakeSwap,CAKE,$23.18,$3.6B,$527.3M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Polkadot,DOT,$33.61,$31.3B,$3.2B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Polkadot,DOT,$33.74,$31.3B,$3.2B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Siacoin,SC,$0.0410,$1.9B,$626.6M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Solana,SOL,$29.09,$7.8B,$1.0B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
